"SECUENCIA","NOMBRE","VEREDA","NOMBRE DEL PREDIO","TIPO DE CULTIVO"
"1","USUARIO NUMERO 1","MONTES","BELLO HORIZONTE","TOMATE DE ARBOL"
"2","USUARIO NUMERO 2","MONTES","BELLO HORIZONTE","MORA"
"3","USUARIO NUMERO 3","PARAMO","SAN BLAS","MORA UVA"
"4","USUARIO NUMERO 4","PARAMO","SAN BLAS","ARVEJA"
"5","USUARIO NUMERO 5","PARAMO","LA PLANADA","TOMATE DE ARBOL"
"6","USUARIO NUMERO 6","PARAMO","LA ESPERANZA","MORA CASTILLA"
"7","USUARIO NUMERO 7","PARAMO","LA ESPERANZA","MORA UVA"
"8","USUARIO NUMERO 8","PARAMO","LA PLANADA","LULO"
"9","USUARIO NUMERO 9","PARAMO","OJO DE AGUA","MORA UVA"
"10","USUARIO NUMERO 10","PARAMO","EL PINO","TOMATE DE ARBOL"
"11","USUARIO NUMERO 11","PARAMO","SANTA BARBARA","MORA DE CASTILLA"
"12","USUARIO NUMERO 12","PARAMO","SAN ANTONIO","TOMATE DE ARBOL"
"13","USUARIO NUMERO 13","PARAMO","EL HORNO","PAPA"
"14","USUARIO NUMERO 14","PARAMO","EL AMARILLO","MORA UVA"
"15","USUARIO NUMERO 15","PARAMO","LAS PLANADAS","ARVEJA"
"16","USUARIO NUMERO 16","PARAMO","LAS PLANADAS","PAPA"
"17","USUARIO NUMERO 17","PARAMO","PARAMO","MORA UVA"
"18","USUARIO NUMERO 18","PARAMO","SAN LUIS","PAPA"
"19","USUARIO NUMERO 19","PARAMO","EL CHARQUITO","MORA UVA"
"20","USUARIO NUMERO 20","PARAMO","OJO DE AGUA","TOMATE DE ARBOL"
"21","USUARIO NUMERO 21","PARAMO","MERCHAN","TOMATE DE ARBOL"
"22","USUARIO NUMERO 22","PARAMO","EL MIRADOR","PAPA"
"23","USUARIO NUMERO 23","PARAMO","AGUA BLANCA","PAPA"
"24","USUARIO NUMERO 24","PARAMO","EL PAPAYO","UVA"
"25","USUARIO NUMERO 25","PARAMO","LA ESPERANZA","PAPA"
"26","USUARIO NUMERO 26","PARAMO","TIPARUCO","MORA UVA"
"27","USUARIO NUMERO 27","PARAMO","LA ESPERANZA","MORA UVA"
"28","USUARIO NUMERO 28","PARAMO","BUENA VISTA","PAPA"
"29","USUARIO NUMERO 29","PARAMO","LA ESPERANZA","MORA UVA"
"30","USUARIO NUMERO 30","PARAMO","BUENOS AIRES","MORA UVA"
"31","USUARIO NUMERO 31","PARAMO","SANTA ISABEL","MORA UVA"
"32","USUARIO NUMERO 32","PARAMO","TIPARUCO","PAPA"
"33","USUARIO NUMERO 33","PARAMO","BUENOS AIRES","TOMATE DE ARBOL"
"34","USUARIO NUMERO 34","PARAMO","EL SALITRE","MORA DE CASTILLA"
"35","USUARIO NUMERO 35","PARAMO","EL OLVIDO","MORA DE CASTILLA"
"36","USUARIO NUMERO 36","PARAMO","EL OLVIDO","MORA UVA"
"37","USUARIO NUMERO 37","PARAMO","SAN CARLOS","MORA CASTILLA"
"38","USUARIO NUMERO 38","PARAMO","SAN CARLOS","TOMATE DE ARBOL"
"39","USUARIO NUMERO 39","PARAMO","EL PROGRESO","MORA UVA"
"40","USUARIO NUMERO 40","PARAMO","EL PROGRESO","TOMATE DE ARBOL"
"41","USUARIO NUMERO 41","PARAMO","EL PROGRESO","MORA UVA"
"42","USUARIO NUMERO 42","PARAMO","LA ESPERANZA","PAPA"
"43","USUARIO NUMERO 43","PARAMO","LA ESPERANZA","HORTALIZAS"
"44","USUARIO NUMERO 44","RIO SUAREZ","BUENOS AIRES","MORA UVA"
"45","USUARIO NUMERO 45","RIO SUAREZ","BUENOS AIRES","LIMA ACIDA"
"46","USUARIO NUMERO 46","PARAMO","LA ESPERANZA","TOMATE DE ARBOL"
"47","USUARIO NUMERO 47","PARAMO","LA ESPERANZA","MORA CASTILLA"
"48","USUARIO NUMERO 48","MONTES","EL PORVENIR","MORA UVA"
"49","USUARIO NUMERO 49","MONTES","BUENA VISTA","MORA CASTILLA"
"50","USUARIO NUMERO 50","MONTES","LA ESPERANZA","AGUACATE HASS"
"51","USUARIO NUMERO 51","MONTES","LOS CURUBUS","MORA CASTILLA"
"52","USUARIO NUMERO 52","MONTES","LOMA BLANCA","MORA CASTILLA"
"53","USUARIO NUMERO 53","JARANTIVA","JARANTIVA","GUAYABA"
"54","USUARIO NUMERO 54","POPOA SUR","EL PROGRESO","GUAYABA"
"55","USUARIO NUMERO 55","POPOA SUR","CAMPO HERMOSO","GUAYABA"
"56","USUARIO NUMERO 56","PARAMO","EL BOSQUE","PAPA"
"57","USUARIO NUMERO 57","PARAMO","BUENOS AIRES","PAPA"
"58","USUARIO NUMERO 58","PARAMO","EL PROGRESO","LULO"
"59","USUARIO NUMERO 59","PARAMO","MANUELITA","PAPA"
"60","USUARIO NUMERO 60","PARAMO","CASA BLANCA","PAPA"
"61","USUARIO NUMERO 61","PARAMO","EL PROGRESO","PAPA"
"62","USUARIO NUMERO 62","PARAMO","PARAMO","MORA UVA"
"63","USUARIO NUMERO 63","PARAMO","EL VERGEL","PAPA"
"64","USUARIO NUMERO 64","BAJO GUAMITO","EL BOSQUE","BIJAO"
"65","USUARIO NUMERO 65","RINCON","SAN ROQUE","CAFÉ"
"66","USUARIO NUMERO 66","POPOITA","LA ISLA","CAFÉ"
"67","USUARIO NUMERO 67","ALTO SEMISA","BELLA VISTA","CAFÉ"
"68","USUARIO NUMERO 68","BAJO CANTANO","LA BELLEZA","BIJAO"
"69","USUARIO NUMERO 69","MEDIOS SANTA RITA","LA SABANA","SASHA INCHE"
"70","USUARIO NUMERO 70","RINCON","PARNASSUS","SASHA INCHE"
"71","USUARIO NUMERO 71","BAJO CANTANO","LA BELLEZA","GUAYABA"
"72","USUARIO NUMERO 72","ALTO SEMISA","EL SAUCE","NO APLICA"
"73","USUARIO NUMERO 73","MONTES","GUAIRA","MORA"
"74","USUARIO NUMERO 74","POPOA SUR","LAS DELICIAS","GUAYABA"
"75","USUARIO NUMERO 75","ALTO SEMISA","EL SAUCE","GUAYABA"
"76","USUARIO NUMERO 76","POPOA SUR","EL TRAPICHE","GUAYABA"
"77","USUARIO NUMERO 77","ALTO SEMISA","LA ESPERANZA","PASTO / OTROS"
"78","USUARIO NUMERO 78","ALTO CAPILLA","LA LOMA","LIMON"
"79","USUARIO NUMERO 79","ALTO CAPILLA","SAN ANTONIO","GUAYABA"
"80","USUARIO NUMERO 80","BAJO CANTANO","NARANJITO","FRIJOL"
"81","USUARIO NUMERO 81","MONTES","SAN MARTIN","PASTO / OTROS"
"82","USUARIO NUMERO 82","POPOA SUR","LA ESPERANZA","GUAYABA"
"83","USUARIO NUMERO 83","RINCON","EL PARAISO","MANDARINA"
"84","USUARIO NUMERO 84","RINCON","EL PARAISO","CITRICOS"
"85","USUARIO NUMERO 85","RINCON","EL PARAISO","PLATANO"
"86","USUARIO NUMERO 86","POPOA SUR","LAS DELICIAS","GUAYABA"
"87","USUARIO NUMERO 87","POPOA SUR","SAN JOSE","GUAYABA"
"88","USUARIO NUMERO 88","POPOA SUR","SAN JOSE","GUAYABA"
"89","USUARIO NUMERO 89","POPOA SUR","SAN JOSE","GUAYABA"
"90","USUARIO NUMERO 90","RINCON","LA FLORESTA","GUAYABA"
"91","USUARIO NUMERO 91","RINCON","LA PIZARRA","GUAYABA"
"92","USUARIO NUMERO 92","RINCON","LA CASETA","GUAYABA"
"93","USUARIO NUMERO 93","IROBA","IROBA","BIJAO"
"94","USUARIO NUMERO 94","SEMISA","LAS IGLESISAS","GUAYABA"
"95","USUARIO NUMERO 95","ALTO SAN DIMAS","CHASEAL","AGUACATE HASS"
"96","USUARIO NUMERO 96","ALTO SEMISA","EL RESPLANDOR","PASTAS"
"97","USUARIO NUMERO 97","ALTO SEMISA","SANTILLANA","CAMUROS-PASTOS"
"98","USUARIO NUMERO 98","ALTO SEMISA","SANTILLANA","GUAYABA"
"99","USUARIO NUMERO 99","ALTO SEMISA","SANTILLANA","GUAYABA"
"100","USUARIO NUMERO 100","SEMISA","LA ESMERALDA","CITRICOS"
"101","USUARIO NUMERO 101","ALTO SEMISA","LA CABAÑA","CAFÉ"
"102","USUARIO NUMERO 102","SEMISA","ARACATAKA","POTREROS"
"103","USUARIO NUMERO 103","POPOITA","LA CABAÑA","GUAYABA"
"104","USUARIO NUMERO 104","MEDIOS SANTA RITA","SANTA ROSA","CAFÉ"
"105","USUARIO NUMERO 105","MEDIOS SANTA RITA","EL ENCANTO","CAFÉ"
"106","USUARIO NUMERO 106","POPOA SUR","PARAISO","GUAYABA"
"107","USUARIO NUMERO 107","MEDIOS SANTA RITA","EL ENCANTO","CAFÉ"
"108","USUARIO NUMERO 108","MEDIOS SANTA RITA","EL ENCANTO","CAFÉ"
"109","USUARIO NUMERO 109","POPOA SUR","LA ESPERANZA","GUAYABA"
"110","USUARIO NUMERO 110","POPOA NORTE","VOLCANES","GUAYABA"
"111","USUARIO NUMERO 111","POPOA SUR","LOS NARANJOS","GUAYABA"
"112","USUARIO NUMERO 112","POPOA SUR","LA PRIMAVERA","GUAYABA"
"113","USUARIO NUMERO 113","LA CUCHILLA","CARTAGENA","NO APLICA"
"114","USUARIO NUMERO 114","ALTO SEMISA","PROGRESO","GUAYABA"
"115","USUARIO NUMERO 115","POPOITA","RUBIALES","GUAYABA"
"116","USUARIO NUMERO 116","POPOA SUR","LA RITA","GUAYABA"
"117","USUARIO NUMERO 117","POPOA SUR","LOS MEDIOS","GUAYABA"
"118","USUARIO NUMERO 118","POPOA SUR","DELICIAS","GUAYABA"
"119","USUARIO NUMERO 119","POPOA SUR","LA PUENTANA","GUAYABA"
"120","USUARIO NUMERO 120","POPOITA","LA BODEGA","GUAYABA"
"121","USUARIO NUMERO 121","POPOA SUR","LA PUENTANA","GUAYABA"
