"Descripción producto","Clase","Presentación","Especie"
"AFTOGAN 2 ML","Vacuna","Frascos por 10, 25 y 50 dosis.","Bovinos"
"AFTOGAN 2 ML","Vacuna","Frascos por 10, 25 y 50 dosis.","Bufálos"
"AFTOGAN RABIA 2ML","Vacuna","Frascos por 10, 25 y 50 dosis.","Bovinos"
"AFTOGAN RABIA 2ML","Vacuna","Frascos por 10, 25 y 50 dosis.","Búfalos"
"VACUNA TRIPLE HA","Vacuna","Frascos por  20, 50 y  dosis.","Bovinos"
"VACUNA TRIPLE HA","Vacuna","Frascos por  20, 50 y dosis.","Ovinos"
"HEXAGAN","Vacuna","Frascos por  20 y 50 dosis.","Bovinos"
"HEXAGAN","Vacuna","Frascos por 20 y 50 dosis.","Ovinos"
"VACUNA ESTOMATITIS","Vacuna","Frascos po, 20 y 50 dosis.","Bovinos"
"CEPA 19","Vacuna","Frasco por  5 dosis con su diluyente.","Bovinos"
"BLINDAGAN","Vacuna","Frascos por  20, 25, 50 y 100 dosis.","Bovinos"
"MYCOCERD","Vacuna","Frascos por 20 y 50 dosis.","Porcinos"
"RAYOVACUNA","Vacuna","Frascos por  25 y 50 dosis.","Bovinos"
"RAYOVACUNA","Vacuna","Frascos por  25 y 50 dosis.","Equinos"
"RAYOVACUNA","Vacuna","Frascos por  25 y 50 dosis.","Ovinos"
"RAYOVACUNA","Vacuna","Frascos por 25 y 50 dosis.","Porcinos"
"VACUNA ENCEFALITIS EQUINA","Vacuna","Frasco por 10  dosis.","Equinos"
"RABIGAN","Vacuna","Frascos por 10 y 50 dosis.","Bovinos"
"CEFTIOFUR SODICO","Antibióticos","Frascos por 1 g y 4 g acompañados por diluyente.","Bovinos"
"CEFTIOFUR SODICO","Antibióticos","Frascos por 1 g y 4 g acompañados por diluyente.","Equinos"
"CEFTIOFUR SODICO","Antibióticos","Frascos por 1 g y 4 g acompañados por diluyente.","Porcinos"
"CEFTIOFUR SODICO","Antibióticos","Frascos por 1 g y 4 g acompañados por diluyente.","Caninos"
"ENROFLOXACINA 10%","Antibióticos","Frascos por 50, 100 ml.","Bovinos"
"ENROFLOXACINA 10%","Antibióticos","Frascos por 50, 100 ml.","Equinos"
"ENROFLOXACINA 10%","Antibióticos","Frascos por 50, 100 ml.","Porcinos"
"ENROFLOXACINA 10%","Antibióticos","Frascos por 50, 100 ml.","Caninos"
"ENROFLOXACINA 10%","Antibióticos","Frascos por 50, 100 ml.","Ovinos"
"ENROFLOXACINA 10%","Antibióticos","Frascos por 50, 100 ml.","Felinos"
"LONGICILINA 200","Antibióticos","Frascos por  500 ml.","Bovinos"
"LONGICILINA 200","Antibióticos","Frascos por  500 ml.","Porcinos"
"LONGICILINA 200","Antibióticos","Frascos por  500 ml.","Ovinos"
"LONGICILINA 200","Antibióticos","Frascos por  500 ml.","Caprinos"
"LONGICILINA 200","Antibióticos","Frascos por  500 ml.","Aves"
"OXITETRACICLINA","Antibióticos","Frascos por  500 ml.","Bovinos"
"OXITETRACICLINA","Antibióticos","Frascos por  500 ml.","Equinos"
"OXITETRACICLINA","Antibióticos","Frascos por  500 ml.","Ovinos"
"OXITETRACICLINA","Antibióticos","Frascos por  500 ml.","Porcinos"
"OXITETRACICLINA","Antibióticos","Frascos por  500 ml.","Caninos"
"OXITETRACICLINA","Antibióticos","Frascos por  500 ml.","Felinos"
"OXITETRACICLINA","Antibióticos","Frascos por  500 ml.","Aves"
"SULFAMETAZINA","Antibióticos","Frascos por  250 y 500 ml.","Bovinos"
"SULFAMETAZINA","Antibióticos","Frascos por  250 y 500 ml.","Equinos"
"SULFAMETAZINA","Antibióticos","Frascos por  250 y 500 ml.","Ovinos"
"SULFAMETAZINA","Antibióticos","Frascos por  250 y 500 ml.","Porcinos"
"SULFAMETAZINA","Antibióticos","Frascos por  250 y 500 ml.","Caninos"
"SULFAMETAZINA","Antibióticos","Frascos por  250 y 500 ml.","Aves"
"TILOSINA","Antibióticos","Frascos por 25, 100 y 250 ml.","Bovinos"
"TILOSINA","Antibióticos","Frascos por 25,  100 y 250 ml.","Porcinos"
"TRIPEN L.A.","Antibióticos","Frasco individual de 3'000.000, 6'000.000 y 9'000.000 de U.I. con su diluyente.","Bovinos"
"TRIPEN L.A.","Antibióticos","Frasco individual de 3'000.000, 6'000.000 y 9'000.000 de U.I. con su diluyente.","Equinos"
"TRIPEN L.A.","Antibióticos","Frasco individual de 3'000.000, 6'000.000 y 9'000.000 de U.I. con su diluyente.","Ovinos"
"TRIPEN L.A.","Antibióticos","Frasco individual de 3'000.000, 6'000.000 y 9'000.000 de U.I. con su diluyente.","Caprinos"
"TRIPEN L.A.","Antibióticos","Frasco individual de 3'000.000, 6'000.000 y 9'000.000 de U.I. con su diluyente.","Porcinos"
"TRIPEN L.A.","Antibióticos","Frasco individual de 3'000.000, 6'000.000 y 9'000.000 de U.I. con su diluyente.","Caninos"
"TRIPEN L.A.","Antibióticos","Frasco individual de 3'000.000, 6'000.000 y 9'000.000 de U.I. con su diluyente.","Felinos"
"ESTREPTOVEC","Antibióticos","Frascos por 5,0 g con su diluyente.","Bovinos"
"ESTREPTOVEC","Antibióticos","Frascos por 5,0 g con su diluyente.","Equinos"
"ESTREPTOVEC","Antibióticos","Frascos por 5,0 g con su diluyente.","Porcinos"
"ESTREPTOVEC","Antibióticos","Frascos por 5,0 g con su diluyente.","Ovinos"
"ESTREPTOVEC","Antibióticos","Frascos por 5,0 g con su diluyente.","Caprinos"
"DORAGAN","Antiparasitarios","Frascos por 500 ml.","Bovinos"
"DORAGAN","Antiparasitarios","Frascos por 500 ml.","Ovinos"
"DORAGAN","Antiparasitarios","Frascos por 500 ml.","Porcinos"
"FENBENDAZOL 25%","Antiparasitarios","Frascos por 120 y 500 ml, garrafas por 2000 ml, jeringas por 12 ml.","Bovinos"
"FENBENDAZOL 25%","Antiparasitarios","Frascos por 120 y 500 ml, garrafas por 2000 ml, jeringas por 12 ml.","Ovinos"
"FENBENDAZOL 25%","Antiparasitarios","Frascos por 120 y 500 ml, garrafas por 2000 ml, jeringas por 12 ml.","Caprinos"
"FENBENDAZOL 25%","Antiparasitarios","Frascos por 120 y 500 ml, garrafas por 2000 ml, jeringas por 12 ml.","Porcinos"
"FENBENDAZOL 25%","Antiparasitarios","Frascos por 120 y 500 ml, garrafas por 2000 ml, jeringas por 12 ml.","Caninos"
"FENBENDAZOL 25%","Antiparasitarios","Frascos por 120 y 500 ml, garrafas por 2000 ml, jeringas por 12 ml.","Equinos"
"IVERMECTINA 1%","Antiparasitarios","Frascos por 50, 250 y 500 ml.","Bovinos"
"IVERMECTINA 1%","Antiparasitarios","Frascos por  50, 250 y 500 ml.","Porcinos"
"IVERMECTINA 3.15%","Antiparasitarios","Frascos por  50, 250, 500 y 1000 ml.","Bovinos"
"IVERQUINOS","Antiparasitarios","Jeringa plástica por 6,42 g.","Equinos"
"LOMBIFAR","Antiparasitarios","Frascos por 120, 500, 1000, 2000 ml.","Bovinos"
"LOMBIFAR","Antiparasitarios","Frascos por 120,  500, 1000, 2000 ml.","Ovinos"
"LOMBIFAR","Antiparasitarios","rascos por 120, 500, 1000, 2000 ml.","Caprinos"
"TRATORIL","Antiparasitarios","Frascos por 120, 240, 500 y 1000 ml.","Bovinos"
"TRATORIL","Antiparasitarios","Frascos por 120, 240,  500 y 1000 ml.","Porcinos"
"TRATORIL","Antiparasitarios","Frascos por 120, 240,  500 y 1000 ml.","Caninos"
"TRATORIL","Antiparasitarios","Frascos por 120, 240, 500 y 1000 ml.","Felinos"
"BOLDENONA","Hormonales","Frascos por  250 ml.","Bovinos"
"BOLDENONA","Hormonales","Frascos por  250 ml.","Equinos"
"BOLDENONA","Hormonales","Frascos por  250 ml.","Porcinos"
"BOLDENONA","Hormonales","Frascos por  250 ml.","Caninos"
"GESTAVEC 25","Hormonales","Frascos por 10 ml.","Bovinos"
"GESTAVEC 25","Hormonales","Frascos por 10 ml.","Equinos"
"GESTAVEC 25","Hormonales","Frascos por 10 ml.","Porcinos"
"GESTAVEC 25","Hormonales","Frascos por 10 ml.","Ovinos"
"GESTAVEC 25","Hormonales","Frascos por 10 ml.","Caninos"
"GESTAVEC 25","Hormonales","Frascos por 10 ml.","Felinos"
"OXITOCINA SINTETICA","Hormonales","Frascos por 10 ml.","Bovinos"
"OXITOCINA SINTETICA","Hormonales","Frascos por 10 ml.","Equinos"
"OXITOCINA SINTETICA","Hormonales","Frascos por 10 ml.","Porcinos"
"OXITOCINA SINTETICA","Hormonales","Frascos por 10 ml.","Caninos"
"OXITOCINA SINTETICA","Hormonales","Frascos por 10 ml.","Felinos"
"HEMOVEC NF","Vitaminas","Frascos por 250 ml y 500 ml.","Bovinos"
"HEMOVEC NF","Vitaminas","Frascos por 250 ml y 500 ml.","Equinos"
"HEMOVEC NF","Vitaminas","Frascos por 250 ml y 500 ml.","Ovinos"
"HEMOVEC NF","Vitaminas","Frascos por 250 ml y 500 ml.","Porcinos"
"HEMOVEC NF","Vitaminas","Frascos por 250 ml y 500 ml.","Caninos"
"TRIVEC","Vitaminas","Frascos por  250 ml y 500 ml.","Bovinos"
"TRIVEC","Vitaminas","Frascos por  250 ml y 500 ml.","Ovinos"
"TRIVEC","Vitaminas","Frascos por  250 ml y 500 ml.","Caprinos"
"VITAMINA K","Vitaminas","Frascos por 10, 50 ml","Bovinos"
"VITAMINA K","Vitaminas","Frascos por 10, 50 ml","Equinos"
"VITAMINA K","Vitaminas","Frascos por 10, 50 ml","Porcinos"
"VITAMINA K","Vitaminas","Frascos por 10, 50 ml","Caninos"
"VITAMINA K","Vitaminas","Frascos por 10, 50 ml","Felinos"
"CALMADEX NF","Multivitamínicos y Minerales","Frascos por 500 ml.","Bovinos"
"CALMADEX NF","Multivitamínicos y Minerales","Frascos por 500 ml.","Equinos"
"CALMADEX NF","Multivitamínicos y Minerales","Frascos por 500 ml.","Porcinos"
"CALMADEX NF","Multivitamínicos y Minerales","Frascos por 500 ml.","Ovinos"
"CALMADEX NF","Multivitamínicos y Minerales","Frascos por 500 ml.","Caprinos"
"GLUCONATO CALCIO","Multivitamínicos y Minerales","Frascos por 250 ml y 500 ml.","Bovinos"
"GLUCONATO CALCIO","Multivitamínicos y Minerales","Frascos por 250 ml y 500 ml.","Equinos"
"GLUCONATO CALCIO","Multivitamínicos y Minerales","Frascos por 250 ml y 500 ml.","Ovinos"
"GLUCONATO CALCIO","Multivitamínicos y Minerales","Frascos por 250 ml y 500 ml.","Porcinos"
"GLUCONATO CALCIO","Multivitamínicos y Minerales","Frascos por 250 ml y 500 ml.","Caninos"
"VITARSAN","Multivitamínicos y Minerales","Frascos por  500 ml.","Bovinos"
"VITARSAN","Multivitamínicos y Minerales","Frascos por  500 ml.","Equinos"
"VITARSAN","Multivitamínicos y Minerales","Frascos por  500 ml.","Ovinos"
"VITARSAN","Multivitamínicos y Minerales","Frascos por  500 ml.","Caprinos"
"VITARSAN","Multivitamínicos y Minerales","Frascos por  500 ml.","Porcinos"
"VITARSAN","Multivitamínicos y Minerales","Frascos por  500 ml.","Caninos"
"VITARSAN","Multivitamínicos y Minerales","Frascos por  500 ml.","Felinos"
"DICOGAN","Analgésicos-Antipiréticos-Antiinflamatorios","Frascos por 10 y 50 ml.","Bovinos"
"DICOGAN","Analgésicos-Antipiréticos-Antiinflamatorios","Frascos por 10 y 50 ml.","Porcinos"
"DICOGAN","Analgésicos-Antipiréticos-Antiinflamatorios","Frascos por 10 y 50 ml.","Equinos"
"DICOGAN","Analgésicos-Antipiréticos-Antiinflamatorios","Frascos por 10 y 50 ml.","Ovinos"
"DICOGAN","Analgésicos-Antipiréticos-Antiinflamatorios","Frascos por 10 y 50 ml.","Caprinos"
"VECICLOX","Analgésicos-Antipiréticos-Antiinflamatorios","Frascos por 200 ml.","Equinos"
"DIPIRINA","Analgésicos-Antipiréticos-Antiinflamatorios","Frascos por 20, 50, ml.","Bovinos"
"DIPIRINA","Analgésicos-Antipiréticos-Antiinflamatorios","Frascos por 20, 50 ml.","Porcinos"
"DIPIRINA","Analgésicos-Antipiréticos-Antiinflamatorios","Frascos por 20, 50 ml.","Equinos"
"DIPIRINA","Analgésicos-Antipiréticos-Antiinflamatorios","Frascos por 20, 50 ml.","Caninos"
"FLUNIXINA","Analgésicos-Antipiréticos-Antiinflamatorios","Frascos por 10, 50 y 100 ml.","Bovinos"
"FLUNIXINA","Analgésicos-Antipiréticos-Antiinflamatorios","Frascos por 10, 50 y 100 ml.","Porcinos"
"FLUNIXINA","Analgésicos-Antipiréticos-Antiinflamatorios","Frascos por 10, 50 y 100 ml.","Equinos"
"KENOGAN","Analgésicos-Antipiréticos-Antiinflamatorios","Frascos por 10, 50 y 100 ml.","Bovinos"
"KENOGAN","Analgésicos-Antipiréticos-Antiinflamatorios","Frascos por 10, 50 y 100 ml.","Porcinos"
"KENOGAN","Analgésicos-Antipiréticos-Antiinflamatorios","Frascos por 10, 50 y 100 ml.","Equinos"
"KENOGAN","Analgésicos-Antipiréticos-Antiinflamatorios","Frascos por 10, 50 y 100 ml.","Caninos"
"KENOGAN","Analgésicos-Antipiréticos-Antiinflamatorios","Frascos por 10, 50 y 100 ml.","Gatos"
"AFLOVET","Otros","Envase plástico por 400 g.","Bovinos"
"AFLOVET","Otros","Envase plástico por  400 g.","Equinos"
"AFLOVET","Otros","Envase plástico por 400 g.","Porcinos"
"AFLOVET","Otros","Envase plástico por  400 g.","Ovinos"
"AFLOVET","Otros","Envase plástico por  400 g.","Caprinos"
"ALERVEC","Otros","Frascos por 10 y 50 ml.","Bovinos"
"ALERVEC","Otros","Frascos por 10 y 50 ml.","Equinos"
"ALERVEC","Otros","Frascos por 10 y 50 ml.","Caninos"
"ALERVEC","Otros","Frascos por 10 y 50 ml.","Felinos"
"SULFALLIDOL","Otros","Envase plástico por 100, g.","Bovinos"
"SULFALLIDOL","Otros","Envase plástico por 100, g.","Equinos"
"SULFALLIDOL","Otros","Envase plástico por 100, g.","Porcinos"
"SULFALLIDOL","Otros","Envase plástico por 100, g.","Ovinos"
"SULFALLIDOL","Otros","Envase plástico por 100, g.","Caprinos"
"SULFALLIDOL","Otros","Envase plástico por 100, g.","Caninos"
"RUMITEC","Otros","Frascos por 120  ml.","Bovinos"
